target_id,x,y,is_new_target,before_cluster,after_cluster,significance,defense,method_used,fallback_reason
136,219.0,-86.0,False,5,1,1.0,1.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
138,275.0,-308.0,False,5,1,1.0,1.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
141,-342.0,-1028.0,False,4,4,1.0,4.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
147,60.0,-70.0,False,5,1,1.0,4.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
149,402.0,-697.0,False,4,4,1.0,2.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
151,370.0,-772.0,False,4,4,1.0,3.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
167,199.0,-1097.0,False,4,4,1.0,3.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
171,-671.0,-381.0,False,1,5,1.0,1.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
174,4.0,-9.0,False,5,1,1.0,3.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
196,86.0,-264.0,False,5,1,1.0,3.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
54,-1124.0,-326.0,True,1,5,1.0,2.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
165,1421.0,871.0,True,2,3,1.0,4.0,ppo_fallback_pso,PPO checkpoint status is not trained: no_torch_fallback
