training_rounds,std_deviation
1.210000000000000000e+02,7.280546286360940755e-02
1.220000000000000000e+02,2.583267891073171563e-01
1.230000000000000000e+02,9.708531289116338892e-01
1.240000000000000000e+02,1.151405973948011585e+00
1.250000000000000000e+02,2.474529174112690022e+00
1.260000000000000000e+02,2.281890098300437764e+00
1.270000000000000000e+02,1.425004805132050079e+00
1.280000000000000000e+02,1.116077274425365085e+00
1.290000000000000000e+02,2.531828514063631186e+00
1.300000000000000000e+02,6.833599815220868789e-01
1.310000000000000000e+02,1.996803892068117925e+00
1.320000000000000000e+02,1.201688662052308620e+00
1.330000000000000000e+02,1.590628568349836014e+00
1.340000000000000000e+02,2.293318655250573990e+00
1.350000000000000000e+02,7.614758348880512617e-01
1.360000000000000000e+02,5.243155386427977849e-01
1.370000000000000000e+02,2.113686334395890598e-01
1.380000000000000000e+02,5.206922648763752381e-02
1.390000000000000000e+02,1.788960954318544294e+00
1.400000000000000000e+02,1.233198406718166940e+00
1.410000000000000000e+02,2.131868820162082567e+00
1.420000000000000000e+02,1.983791612029566442e+00
1.430000000000000000e+02,2.132764752246120832e+00
1.440000000000000000e+02,1.496448008393924223e+00
1.450000000000000000e+02,1.193597153492196528e+00
1.460000000000000000e+02,2.410252235719582803e+00
1.470000000000000000e+02,3.030303842336085074e-01
1.480000000000000000e+02,1.676746493613880062e+00
1.490000000000000000e+02,3.176673459246452391e-01
1.500000000000000000e+02,2.392421313054637899e-02
1.510000000000000000e+02,1.315126454052807592e+00
1.520000000000000000e+02,1.032661373646471814e+00
1.530000000000000000e+02,1.888366367833301585e+00
1.540000000000000000e+02,1.117083591244731750e-01
1.550000000000000000e+02,2.346956259154447721e+00
1.560000000000000000e+02,1.828084234013846565e+00
1.570000000000000000e+02,7.662408769251239926e-01
1.580000000000000000e+02,2.502204989929428969e+00
1.590000000000000000e+02,2.179071630738434351e+00
1.600000000000000000e+02,2.399424225375990094e+00
1.610000000000000000e+02,2.107208205636891041e+00
1.620000000000000000e+02,2.544513639478588107e+00
1.630000000000000000e+02,4.576055633032616865e-01
1.640000000000000000e+02,2.544299643065077721e+00
1.650000000000000000e+02,1.210389261891099855e+00
1.660000000000000000e+02,1.192000591030569545e+00
1.670000000000000000e+02,1.679971551743706382e+00
1.680000000000000000e+02,3.904094532247050914e-02
1.690000000000000000e+02,1.127824295531924675e-01
1.700000000000000000e+02,6.265266204003746564e-01
1.710000000000000000e+02,6.081645247227466244e-01
1.720000000000000000e+02,2.012636446255153810e+00
1.730000000000000000e+02,1.551712380443204253e+00
1.740000000000000000e+02,7.628535441454327160e-01
1.750000000000000000e+02,8.190072994653485594e-01
1.760000000000000000e+02,1.432453259222306263e+00
1.770000000000000000e+02,5.878290083988789716e-01
1.780000000000000000e+02,5.672238120982895371e-01
1.790000000000000000e+02,9.897283747120905195e-01
1.800000000000000000e+02,1.357389631740840041e+00
1.810000000000000000e+02,3.112803658767467063e-02
1.820000000000000000e+02,1.286095701644715206e+00
1.830000000000000000e+02,1.502292157536094352e+00
1.840000000000000000e+02,6.108523506599748965e-01
1.850000000000000000e+02,1.812809930018478122e+00
1.860000000000000000e+02,4.330054969467503900e-01
1.870000000000000000e+02,1.505527385281073272e-01
1.880000000000000000e+02,1.474286267067265399e+00
1.890000000000000000e+02,2.856711052885216318e-01
1.900000000000000000e+02,1.879138569856883434e+00
1.910000000000000000e+02,3.439999738024794307e-01
1.920000000000000000e+02,4.080019203766840213e-02
1.930000000000000000e+02,4.197009661694058313e-01
1.940000000000000000e+02,7.472266560095713883e-01
1.950000000000000000e+02,9.026683650212395937e-01
1.960000000000000000e+02,1.484370835778990871e+00
1.970000000000000000e+02,3.729666885538490129e-01
1.980000000000000000e+02,2.323999184097157666e+00
1.990000000000000000e+02,1.358761220273718706e+00
2.000000000000000000e+02,3.231815820327525457e-01
2.010000000000000000e+02,5.302535976923798966e-01
2.020000000000000000e+02,3.867126774292659747e-02
2.030000000000000000e+02,1.057355951469215460e+00
2.040000000000000000e+02,2.815571919346646079e-01
2.050000000000000000e+02,2.463587620256053157e+00
2.060000000000000000e+02,6.539456784800542488e-01
2.070000000000000000e+02,2.779301318754013872e-01
2.080000000000000000e+02,1.008780785365205990e+00
2.090000000000000000e+02,1.456600391080234980e+00
2.100000000000000000e+02,8.872366655874842634e-01
2.110000000000000000e+02,9.896914217859588137e-01
2.120000000000000000e+02,2.214842068354570870e+00
2.130000000000000000e+02,1.996639793627335679e+00
2.140000000000000000e+02,9.982823526656044999e-01
2.150000000000000000e+02,1.589871712047394858e+00
2.160000000000000000e+02,1.765103913049379303e+00
2.170000000000000000e+02,1.943751070475160159e+00
2.180000000000000000e+02,1.915562098779463041e+00
2.190000000000000000e+02,1.964144272766349175e+00
2.200000000000000000e+02,1.265183705567422212e+00
2.210000000000000000e+02,2.156979221134678326e+00
2.220000000000000000e+02,2.082333798495691113e+00
2.230000000000000000e+02,2.540879715708608266e+00
2.240000000000000000e+02,1.132598745751568270e+00
2.250000000000000000e+02,1.287652608227032092e+00
2.260000000000000000e+02,3.590617957615761524e-01
2.270000000000000000e+02,1.756616321739752351e+00
2.280000000000000000e+02,7.317520453631547461e-01
2.290000000000000000e+02,1.532804354943237968e+00
2.300000000000000000e+02,1.610536871773617040e+00
2.310000000000000000e+02,1.279910320516400413e+00
2.320000000000000000e+02,1.125715715818832674e+00
2.330000000000000000e+02,1.038646689490158481e+00
2.340000000000000000e+02,1.552483495948699277e+00
2.350000000000000000e+02,2.313464011101159734e+00
2.360000000000000000e+02,2.053599550317821709e+00
2.370000000000000000e+02,1.442903104326544172e-01
2.380000000000000000e+02,1.690973237175148247e+00
2.390000000000000000e+02,5.780262314100865773e-01
2.400000000000000000e+02,1.299850670426348165e+00
2.410000000000000000e+02,7.974862605914980751e-01
2.420000000000000000e+02,1.351351394395307937e+00
2.430000000000000000e+02,1.186813870885590483e-01
2.440000000000000000e+02,1.655079054317578402e+00
2.450000000000000000e+02,1.814189852079903575e+00
2.460000000000000000e+02,2.395070846734103309e+00
2.470000000000000000e+02,1.282008482089515233e+00
2.480000000000000000e+02,4.019211671284482201e-01
2.490000000000000000e+02,1.099514898539040386e+00
2.500000000000000000e+02,2.378754572481536766e-01
2.510000000000000000e+02,1.491738900972214177e+00
2.520000000000000000e+02,5.395898653811502799e-01
2.530000000000000000e+02,2.365196191215085175e+00
2.540000000000000000e+02,2.382357260282180089e+00
2.550000000000000000e+02,2.196613212832186690e+00
2.560000000000000000e+02,1.686553809023308093e+00
2.570000000000000000e+02,8.270694194626098117e-01
2.580000000000000000e+02,6.966059095130416878e-01
2.590000000000000000e+02,2.657581217013607264e-02
2.600000000000000000e+02,8.056350791652858723e-01
2.610000000000000000e+02,1.089296619103676811e+00
2.620000000000000000e+02,2.117741465319523453e+00
2.630000000000000000e+02,2.180281067166175202e+00
2.640000000000000000e+02,2.582064605938250601e+00
2.650000000000000000e+02,2.371063736991364523e-01
2.660000000000000000e+02,2.572473483468808109e+00
2.670000000000000000e+02,1.749143283078766098e+00
2.680000000000000000e+02,2.334434750107095002e+00
2.690000000000000000e+02,2.548394874729074555e+00
2.700000000000000000e+02,6.803336098685394129e-01
2.710000000000000000e+02,2.246404539117396737e-01
2.720000000000000000e+02,2.147015107741693907e+00
2.730000000000000000e+02,2.081346112501741175e+00
2.740000000000000000e+02,1.905341929377209365e+00
2.750000000000000000e+02,8.463785834337722580e-01
2.760000000000000000e+02,1.866225463960344166e+00
2.770000000000000000e+02,1.490503685831292557e-01
2.780000000000000000e+02,8.859690169111428260e-01
2.790000000000000000e+02,1.222304293327007851e+00
2.800000000000000000e+02,1.814686125887342572e+00
2.810000000000000000e+02,2.010718032693925128e+00
2.820000000000000000e+02,2.413698194679833320e-01
2.830000000000000000e+02,1.579791038332465369e+00
2.840000000000000000e+02,9.393251034573412150e-01
2.850000000000000000e+02,2.302605132918571051e+00
2.860000000000000000e+02,1.687772596251984725e+00
2.870000000000000000e+02,2.265577630724564084e+00
2.880000000000000000e+02,1.345655463444370259e+00
2.890000000000000000e+02,1.351095082326816854e+00
2.900000000000000000e+02,6.762506191995194538e-01
2.910000000000000000e+02,2.244395617840184709e+00
2.920000000000000000e+02,1.074364990414753640e+00
2.930000000000000000e+02,1.589981584496505507e+00
2.940000000000000000e+02,2.106800665849145382e+00
2.950000000000000000e+02,1.801347493487892581e+00
2.960000000000000000e+02,1.667086928536546608e+00
2.970000000000000000e+02,1.025980746192786563e+00
2.980000000000000000e+02,1.731908494877386073e-01
2.990000000000000000e+02,2.557511864065485696e+00
3.000000000000000000e+02,6.858781428363900368e-01
3.010000000000000000e+02,2.171601742729001749e+00
3.020000000000000000e+02,7.514660437221030165e-01
3.030000000000000000e+02,2.343866358956510076e+00
3.040000000000000000e+02,1.797927497299825372e+00
3.050000000000000000e+02,2.402371013409443812e+00
3.060000000000000000e+02,8.045176021344226935e-01
3.070000000000000000e+02,1.770978780859856938e+00
3.080000000000000000e+02,9.773048786360504225e-01
3.090000000000000000e+02,2.032361818864369063e+00
3.100000000000000000e+02,1.820494441200414926e+00
3.110000000000000000e+02,2.930154365533411132e-01
3.120000000000000000e+02,1.666970486178369695e-02
3.130000000000000000e+02,4.041437011545865876e-01
3.140000000000000000e+02,1.925099779295922797e+00
3.150000000000000000e+02,2.133611425855000299e+00
3.160000000000000000e+02,1.038109272827028251e+00
3.170000000000000000e+02,2.211980858931277716e+00
3.180000000000000000e+02,2.597468811254233678e+00
3.190000000000000000e+02,2.192084272483707075e+00
3.200000000000000000e+02,1.355940183695734991e+00
3.210000000000000000e+02,3.983670123328376111e-01
3.220000000000000000e+02,1.324026917979411300e+00
3.230000000000000000e+02,2.550253167665875509e+00
3.240000000000000000e+02,2.452140046110199201e+00
3.250000000000000000e+02,5.747561105859300135e-01
3.260000000000000000e+02,1.378260572389092387e+00
3.270000000000000000e+02,2.237911341938579213e+00
3.280000000000000000e+02,6.065208517323125159e-01
3.290000000000000000e+02,7.899325664171608086e-01
3.300000000000000000e+02,1.128945686662084613e+00
3.310000000000000000e+02,1.092253888688785146e+00
3.320000000000000000e+02,1.721950388072158167e-01
3.330000000000000000e+02,2.467957423947737094e+00
3.340000000000000000e+02,8.183932712646864172e-01
3.350000000000000000e+02,7.780542745908206603e-01
3.360000000000000000e+02,1.497318664076380035e+00
3.370000000000000000e+02,2.482189303533191449e+00
3.380000000000000000e+02,2.381187460935024092e+00
3.390000000000000000e+02,1.653261969795228659e+00
3.400000000000000000e+02,2.592749067483384739e-01
3.410000000000000000e+02,1.447796151012057109e-01
3.420000000000000000e+02,1.295223977039334118e+00
3.430000000000000000e+02,1.793511087055385644e+00
3.440000000000000000e+02,1.501105040275865887e+00
3.450000000000000000e+02,8.789817172591553041e-01
3.460000000000000000e+02,7.308112860379172293e-01
3.470000000000000000e+02,2.422904542380024395e+00
3.480000000000000000e+02,2.128452046278579868e+00
3.490000000000000000e+02,2.324893700046971379e+00
3.500000000000000000e+02,1.347112134643910331e+00
3.510000000000000000e+02,1.152347173332346930e+00
3.520000000000000000e+02,1.983666621772369076e+00
3.530000000000000000e+02,2.341452207406791164e+00
3.540000000000000000e+02,1.260593302547848404e+00
3.550000000000000000e+02,6.928745678579772971e-01
3.560000000000000000e+02,6.499730028623369738e-02
3.570000000000000000e+02,5.729950243841223090e-01
3.580000000000000000e+02,3.259337615138041544e-01
3.590000000000000000e+02,1.286295772463261988e+00
3.600000000000000000e+02,2.163132914515520644e-01
3.610000000000000000e+02,6.579894819982261556e-01
3.620000000000000000e+02,1.456587932029841603e+00
3.630000000000000000e+02,1.559901089343679992e+00
3.640000000000000000e+02,1.823522610365259089e-01
3.650000000000000000e+02,1.171048181251566067e+00
3.660000000000000000e+02,5.183741008052905608e-01
3.670000000000000000e+02,4.363725779378765934e-01
3.680000000000000000e+02,1.197166403062747575e+00
3.690000000000000000e+02,6.427436396462371526e-01
3.700000000000000000e+02,5.724338277217796422e-01
3.710000000000000000e+02,1.796200670183745463e-01
3.720000000000000000e+02,6.490483352296201325e-01
3.730000000000000000e+02,1.292595835069885145e-02
3.740000000000000000e+02,1.275506538144998980e-01
3.750000000000000000e+02,2.077036093605083789e+00
3.760000000000000000e+02,1.348121451731417730e+00
3.770000000000000000e+02,7.266579663251330201e-01
3.780000000000000000e+02,1.848497031139870517e+00
3.790000000000000000e+02,1.031867983041043546e+00
3.800000000000000000e+02,1.484758944675240500e+00
3.810000000000000000e+02,2.543249874084464679e+00
3.820000000000000000e+02,2.412422595213259413e+00
3.830000000000000000e+02,8.016697001013896040e-01
3.840000000000000000e+02,1.392606200532871874e+00
3.850000000000000000e+02,4.289960596267275994e-01
3.860000000000000000e+02,6.595315833897115176e-01
3.870000000000000000e+02,2.364100869184899700e+00
3.880000000000000000e+02,1.508244120283484202e+00
3.890000000000000000e+02,1.608153674720285808e+00
3.900000000000000000e+02,1.690472289025258368e+00
3.910000000000000000e+02,1.530245427807616632e-01
3.920000000000000000e+02,9.827394997151893408e-02
3.930000000000000000e+02,1.499559514977176766e+00
3.940000000000000000e+02,1.699302937113288947e-01
3.950000000000000000e+02,1.406092751763860393e+00
3.960000000000000000e+02,9.169060126062777982e-01
3.970000000000000000e+02,1.477620849337581532e+00
3.980000000000000000e+02,1.916850973157759652e+00
3.990000000000000000e+02,1.952555435915263926e+00
4.000000000000000000e+02,1.107847071087471935e+00
4.010000000000000000e+02,1.843401412387489779e-01
4.020000000000000000e+02,8.981790056372267461e-01
4.030000000000000000e+02,6.750474727690085608e-01
4.040000000000000000e+02,1.208975708805069660e+00
4.050000000000000000e+02,1.359301543064733941e+00
4.060000000000000000e+02,6.322344477792389839e-01
4.070000000000000000e+02,1.410660513378825032e+00
4.080000000000000000e+02,2.036824239706477857e-01
4.090000000000000000e+02,1.332581182021119304e+00
4.100000000000000000e+02,1.260772303971488650e+00
4.110000000000000000e+02,1.431998032160191503e+00
4.120000000000000000e+02,6.581451688525012944e-01
4.130000000000000000e+02,1.264729807935955241e+00
4.140000000000000000e+02,1.132631899719049207e+00
4.150000000000000000e+02,2.977701710730258911e-01
4.160000000000000000e+02,3.052064981768839447e-01
4.170000000000000000e+02,6.857992812690273388e-01
4.180000000000000000e+02,4.924302547195497093e-01
4.190000000000000000e+02,3.582780980215781175e-01
4.200000000000000000e+02,8.276550177178496615e-01
4.210000000000000000e+02,9.406505698429357132e-01
4.220000000000000000e+02,3.634247093640631254e-01
4.230000000000000000e+02,2.691027936708538237e-01
4.240000000000000000e+02,5.197268161867025782e-01
4.250000000000000000e+02,1.372457789017339946e+00
4.260000000000000000e+02,7.074957295694657144e-01
4.270000000000000000e+02,6.845903693848375271e-01
4.280000000000000000e+02,1.363126222702914170e+00
4.290000000000000000e+02,1.208930097141961868e+00
4.300000000000000000e+02,1.776579154712776831e-01
4.310000000000000000e+02,5.875544235011171956e-01
4.320000000000000000e+02,6.592021841516511049e-01
4.330000000000000000e+02,1.314163406573615189e+00
4.340000000000000000e+02,1.038653808872240791e-01
4.350000000000000000e+02,1.281288199487710111e+00
4.360000000000000000e+02,6.761116556713799852e-01
4.370000000000000000e+02,9.901130417586023746e-01
4.380000000000000000e+02,9.084485318972105317e-01
4.390000000000000000e+02,7.186462262135868695e-01
4.400000000000000000e+02,2.946379976843455095e-02
4.410000000000000000e+02,2.964788198857876700e-01
4.420000000000000000e+02,1.174253632436283112e+00
4.430000000000000000e+02,4.152843258116912795e-01
4.440000000000000000e+02,5.535348085957064734e-02
4.450000000000000000e+02,5.477246100717305666e-01
4.460000000000000000e+02,6.749547293881746901e-01
4.470000000000000000e+02,1.254420952193072480e+00
4.480000000000000000e+02,2.311517045727303210e-01
4.490000000000000000e+02,5.082316892932035035e-01
4.500000000000000000e+02,5.961480934134981702e-01
4.510000000000000000e+02,5.211678287472604199e-02
4.520000000000000000e+02,4.279663411762646419e-02
4.530000000000000000e+02,1.067508057842841751e+00
4.540000000000000000e+02,1.379643055030330689e+00
4.550000000000000000e+02,9.498845847999515257e-02
4.560000000000000000e+02,2.840727283221530231e-01
4.570000000000000000e+02,1.933346827174481919e-01
4.580000000000000000e+02,9.593879381247156779e-01
4.590000000000000000e+02,1.409029797982239707e-01
4.600000000000000000e+02,8.392655613164563544e-01
4.610000000000000000e+02,3.045394686257024697e-01
4.620000000000000000e+02,5.227396753440888277e-02
4.630000000000000000e+02,1.495087754750536790e+00
4.640000000000000000e+02,1.125547348146569870e+00
4.650000000000000000e+02,1.618415034070471159e-01
4.660000000000000000e+02,6.395738499047054493e-01
4.670000000000000000e+02,4.912583113667548518e-01
4.680000000000000000e+02,5.274455202126719922e-01
4.690000000000000000e+02,1.224467076465906246e+00
4.700000000000000000e+02,1.412702124406182813e+00
4.710000000000000000e+02,1.188417719273843431e+00
4.720000000000000000e+02,5.749576164397085520e-01
4.730000000000000000e+02,1.248735146084739345e+00
4.740000000000000000e+02,8.503089884885608463e-01
4.750000000000000000e+02,1.808414823610998701e-01
4.760000000000000000e+02,7.130702404902324876e-01
4.770000000000000000e+02,1.129038418654758069e-01
4.780000000000000000e+02,7.244157740002031831e-01
4.790000000000000000e+02,1.316999800186852809e+00
4.800000000000000000e+02,2.949528533875615532e-01
4.810000000000000000e+02,1.318034075003283956e+00
4.820000000000000000e+02,2.346312114279196503e-01
4.830000000000000000e+02,8.049771858553265158e-01
4.840000000000000000e+02,5.556213116963091281e-01
4.850000000000000000e+02,8.563461249108585971e-01
4.860000000000000000e+02,6.729582419702335727e-01
4.870000000000000000e+02,2.632576304605427353e-01
4.880000000000000000e+02,1.437821290651949635e+00
4.890000000000000000e+02,5.149157156364557730e-01
4.900000000000000000e+02,9.645663192944267106e-01
4.910000000000000000e+02,9.151231051857817711e-01
4.920000000000000000e+02,1.298414779050650392e+00
4.930000000000000000e+02,6.675187699663778229e-01
4.940000000000000000e+02,8.738425500780793165e-01
4.950000000000000000e+02,7.379580995439261049e-01
4.960000000000000000e+02,2.619284635770752767e-01
4.970000000000000000e+02,1.468383609814454260e+00
4.980000000000000000e+02,4.343624376328059644e-01
4.990000000000000000e+02,2.542285329440391317e-01
5.000000000000000000e+02,6.672333202169149491e-01
5.010000000000000000e+02,6.242288219131543192e-01
5.020000000000000000e+02,5.344382638047819878e-01
5.030000000000000000e+02,9.770779125839712531e-01
5.040000000000000000e+02,2.078883784954065894e-01
5.050000000000000000e+02,8.443122030967082914e-01
5.060000000000000000e+02,8.737203553264957234e-01
5.070000000000000000e+02,4.384056871378113618e-01
5.080000000000000000e+02,1.846061430242530998e-01
5.090000000000000000e+02,1.178339886599213404e+00
5.100000000000000000e+02,1.137217034132979698e+00
5.110000000000000000e+02,9.490717289721406491e-02
5.120000000000000000e+02,1.451583550146664736e+00
5.130000000000000000e+02,5.335168990228496000e-01
5.140000000000000000e+02,1.002531476552422252e+00
5.150000000000000000e+02,5.934607668214537668e-01
5.160000000000000000e+02,9.455942627770972386e-01
5.170000000000000000e+02,9.441439709822196935e-01
5.180000000000000000e+02,1.355829666655567589e+00
5.190000000000000000e+02,1.168670011326766067e+00
5.200000000000000000e+02,3.079659935709243568e-01
5.210000000000000000e+02,8.309716189447691193e-02
5.220000000000000000e+02,4.502351225845852567e-01
5.230000000000000000e+02,1.481753511531598289e+00
5.240000000000000000e+02,1.356935617833818997e+00
5.250000000000000000e+02,2.788042434619689147e-01
5.260000000000000000e+02,1.294225284828144140e+00
5.270000000000000000e+02,1.362097071738938681e+00
5.280000000000000000e+02,4.059400768530054826e-01
5.290000000000000000e+02,8.793985510023301089e-01
5.300000000000000000e+02,1.431458246955553237e+00
5.310000000000000000e+02,1.432141650235085439e+00
5.320000000000000000e+02,1.332057496515564488e+00
5.330000000000000000e+02,8.824675302258806475e-01
5.340000000000000000e+02,2.742951988781303641e-01
5.350000000000000000e+02,1.370526365032148863e+00
5.360000000000000000e+02,1.394960911860737562e+00
5.370000000000000000e+02,3.239694827516212960e-01
5.380000000000000000e+02,5.883039692414689936e-01
5.390000000000000000e+02,1.453042749823778568e+00
5.400000000000000000e+02,1.213093779195629551e+00
5.410000000000000000e+02,3.823745566502584348e-01
5.420000000000000000e+02,1.099065788349929074e+00
5.430000000000000000e+02,5.094801292051226449e-01
5.440000000000000000e+02,9.361896277689127910e-01
5.450000000000000000e+02,1.498401126998180732e+00
5.460000000000000000e+02,1.390765893532165398e+00
5.470000000000000000e+02,1.150140258671991655e-01
5.480000000000000000e+02,8.185450255166905054e-01
5.490000000000000000e+02,1.419773255144806789e+00
5.500000000000000000e+02,8.175388603421024358e-02
5.510000000000000000e+02,2.615898683276455805e-01
5.520000000000000000e+02,7.784028095220901777e-01
5.530000000000000000e+02,1.117624323950668908e+00
5.540000000000000000e+02,6.827430624696959605e-01
5.550000000000000000e+02,1.545438588295028337e-02
5.560000000000000000e+02,1.328898986783942027e+00
5.570000000000000000e+02,4.766679900571774153e-01
5.580000000000000000e+02,1.169938677496264567e+00
5.590000000000000000e+02,4.362671842955587742e-01
5.600000000000000000e+02,2.856702190626295157e-01
5.610000000000000000e+02,4.440775385210810611e-01
5.620000000000000000e+02,6.840175166574209431e-01
5.630000000000000000e+02,3.656479005891568601e-01
5.640000000000000000e+02,9.144508310406733731e-01
5.650000000000000000e+02,4.308348648067333309e-01
5.660000000000000000e+02,4.484404085246529448e-04
5.670000000000000000e+02,3.667840795582666402e-01
5.680000000000000000e+02,1.131327750818847289e+00
5.690000000000000000e+02,2.194320721054858758e-01
5.700000000000000000e+02,1.085686469568391543e-01
5.710000000000000000e+02,1.570058741360764176e-01
5.720000000000000000e+02,8.833452840978370801e-01
5.730000000000000000e+02,7.512650881012090665e-01
5.740000000000000000e+02,1.109176762182425113e+00
5.750000000000000000e+02,1.247972041949534816e+00
5.760000000000000000e+02,6.274710159388420250e-01
5.770000000000000000e+02,4.298512811706461934e-01
5.780000000000000000e+02,1.341878738261435444e+00
5.790000000000000000e+02,6.531841200885825094e-01
5.800000000000000000e+02,6.417997481250141689e-01
5.810000000000000000e+02,5.803024300440808858e-01
