序号,位置x,位置y,类型type,防御力defense,重要性significance,图显类型type
123,-689,-443,1,1,1,3
124,-251,-209,1,1,1,1
125,-762,1165,1,4,1,1
126,-279,400,1,4,1,1
127,365,-1218,1,1,1,1
128,-361,-501,1,1,1,2
129,1752,1485,1,2,1,1
130,-473,1337,1,4,1,1
131,-220,392,1,4,1,1
132,-319,640,1,1,1,1
133,1760,1500,1,1,1,1
134,1204,-679,1,4,1,1
135,-1291,602,1,1,1,1
136,219,-86,1,1,1,2
137,-453,438,1,3,1,1
138,275,-308,1,1,1,3
139,393,693,1,3,1,1
140,-783,-387,1,1,1,1
141,-342,-1028,1,4,1,2
142,871,-1435,1,1,1,1
143,1195,1329,1,3,1,1
144,1076,671,1,2,1,1
145,-770,1439,1,1,1,1
146,54,587,1,3,1,1
147,60,-70,1,4,1,2
148,1312,918,1,4,1,1
149,402,-697,1,2,1,5
150,-1121,646,1,3,1,1
151,370,-772,1,3,1,2
152,-1327,1428,1,4,1,1
153,-1362,1464,1,3,1,1
154,-1728,-1013,1,4,1,1
155,-1984,1018,1,3,1,1
156,240,402,1,4,1,1
157,1785,-625,1,2,1,1
158,-631,-225,1,2,1,1
159,1104,1164,1,4,1,1
160,738,906,1,4,1,1
161,830,1387,1,4,1,1
162,1323,233,1,3,1,1
163,894,1207,1,1,1,1
164,1409,1024,1,1,1,1
165,1421,871,1,4,1,1
166,622,454,1,2,1,1
167,199,-1097,1,3,1,3
168,-742,-1448,1,1,1,1
169,1922,-1011,1,3,1,1
170,1278,-1356,1,1,1,1
171,-671,-381,1,1,1,2
172,-1746,-1336,1,1,1,1
173,1491,-647,1,1,1,1
174,4,-9,1,3,1,4
175,-667,-1105,1,2,1,1
176,-1304,311,1,3,1,1
177,1305,59,1,3,1,1
178,-1299,1368,1,1,1,1
179,-85,819,1,1,1,1
180,-1462,-1293,1,2,1,1
181,1109,-683,1,1,1,1
182,-1589,1487,1,3,1,1
183,1145,107,1,1,1,1
184,1111,-697,1,2,1,1
185,1905,-793,1,1,1,1
186,-1840,659,1,2,1,1
187,-1639,1360,1,4,1,1
188,-1108,298,1,1,1,1
189,1821,-403,1,2,1,1
190,-122,882,1,1,1,1
191,-1213,-916,1,4,1,1
192,-494,183,1,1,1,1
193,1705,-935,1,1,1,1
194,-1452,306,1,4,1,1
195,-1500,1353,1,3,1,1
196,86,-264,1,3,1,4
197,-1022,-53,1,4,1,1
198,1188,1303,1,4,1,1
199,510,166,1,2,1,1
200,-62,-1496,1,1,1,1
